Path,Performance,Accessibility,SEO,Best Practices
/,98,68,92,100
/item/1142%3B11%3Bkt-1,98,74,92,100
/item/30676%3B6,98,74,92,100
/item/30984%3B11,99,68,92,100
/item/31108%3B11,95,74,92,100
/item/5022%3B6%3Bc47,97,74,92,100
/item/5938%3B6%3Bc136,99,68,92,100
/item/759%3B6,98,68,92,100
/item/775%3B11%3Bkt-2,99,74,92,100
/listings,63,0,0,0
/sf/76561199581791834,99,76,92,100
/sf/cat,96,76,92,100
/sf/fast,80,80,92,100
/sf/johnny-black,84,80,92,100
/sf/memori-bots,90,80,92,100
/sf/nobindestf,99,72,92,100
/sf/pajonk,99,76,92,100
/sf/scrapyard,99,76,92,100
/store?id=76561198000091310,99,68,92,100
/store?id=76561198004421274,97,76,92,100
/store?id=76561198021413819,95,68,92,100
/store?id=76561198036824799,98,68,92,96
/store?id=76561198040212496,96,74,92,100
/store?id=76561198050194207,99,68,92,100
/store?id=76561198057153972,98,76,92,100
/store?id=76561198066565063,98,68,92,100
/store?id=76561198077500003,98,68,92,100
/store?id=76561198083901668,97,76,92,100
/store?id=76561198094975766,98,68,92,100
/store?id=76561198109611163,95,76,92,100
/store?id=76561198131108480,99,68,92,100
/store?id=76561198226525604,99,68,92,100
/store?id=76561198274895819,97,80,92,100
/store?id=76561198371524119,95,80,92,100
/store?id=76561198393311128,99,68,92,100
/store?id=76561198405497731,99,68,92,100
/store?id=76561198414645935,99,68,92,100
/store?id=76561198744619976,85,76,92,100
/store?id=76561198751140127,98,74,92,100
/store?id=76561198751790885,99,68,92,100
/store?id=76561198753237328,98,68,92,100
/store?id=76561198755208638,94,68,92,100
/store?id=76561198757852066,99,68,92,100
/store?id=76561198778887684,96,76,92,100
/store?id=76561198833916128,88,76,92,100
/store?id=76561198845896241,85,80,92,100
/store?id=76561198861741098,90,80,92,100
/store?id=76561198878825091,89,80,92,100
/store?id=76561198907529889,99,68,92,100
/store?id=76561198965718394,99,68,92,100
/store?id=76561198975948937,99,68,92,100
/store?id=76561199006679800,99,68,92,100
/store?id=76561199013715460,97,80,92,100
/store?id=76561199046327906,90,80,92,100
/store?id=76561199055127294,96,68,92,100
/store?id=76561199063966004,94,80,92,100
/store?id=76561199087212867,98,76,92,100
/store?id=76561199095539879,91,74,92,100
/store?id=76561199107036822,96,68,92,100
/store?id=76561199111206889,98,76,92,100
/store?id=76561199118546232,85,80,92,100
/store?id=76561199129830760,85,80,92,100
/store?id=76561199145132510,91,80,92,100
/store?id=76561199145146020,92,80,92,100
/store?id=76561199153064717,85,80,92,100
/store?id=76561199153262623,85,80,92,100
/store?id=76561199153571794,87,80,92,100
/store?id=76561199168140950,98,68,92,100
/store?id=76561199203694119,97,68,92,100
/store?id=76561199268007332,99,68,92,100
/store?id=76561199339144555,95,74,92,100
/store?id=76561199356061645,99,68,92,100
/store?id=76561199425387861,99,68,92,100
/store?id=76561199443911975,99,68,92,100
/store?id=76561199486024699,91,74,92,100
/store?id=76561199509706909,99,68,92,100
/store?id=76561199529546697,78,80,92,100
/store?id=76561199535803197,99,68,92,100
/store?id=76561199579179238,99,68,92,100
/store?id=76561199581791834,99,76,92,100
/store?id=76561199626506570,87,80,92,100
/store?id=76561199630756878,92,80,92,100
/store?id=76561199656335896,99,68,92,100
/store?id=76561199659673591,89,80,92,100
/store?id=76561199660132541,90,80,92,100
/store?id=76561199660411284,87,80,92,100
/store?id=76561199660681605,92,80,92,100
/store?id=76561199666542905,89,80,92,100
/store?id=76561199667048610,89,80,92,100
/store?id=76561199667214362,93,80,92,100
/store?id=76561199681558519,92,80,92,100
/store?id=76561199777527588,99,68,92,100
/store?id=76561199826055716,92,68,92,100
/store?id=76561199835007811,90,68,92,100
/store?id=76561199837985889,99,68,92,100
/store?id=76561199844144891,99,68,92,100
/store?id=76561199849283153,92,76,92,100
/store?id=76561199868857950,95,68,92,100
/store?id=76561199873794102,89,80,92,100
/store?id=76561199874675508,99,68,92,100
/store?id=76561199891150311,94,76,92,100
