Path,Performance,Accessibility,SEO,Best Practices
/,95,68,92,100
/about/javascript,99,73,82,100
/inventory,59,88,75,77
/inventory/76561198918194942,95,71,92,100
/inventory/76561199052804233,93,71,92,100
/inventory/76561199063966004,95,71,92,100
/inventory/76561199529546697,95,71,92,100
/inventory/76561199660411284,81,71,92,100
/inventory/76561199666542905,94,71,92,100
/inventory/76561199681558519,97,71,92,100
/inventory/auth/steam,59,88,75,77
/inventory/logout?returnTo=%2F,93,68,92,100
/item/190%3B6%3Bkt-3?name=%26%23x27%3B%26%23x27%3BBONK%21%26%23x27%3B%26%23x27%3B,94,74,92,100
/item/30027%3B6?name=The+Bolt+Boy,92,68,92,100
/item/30541%3B6?name=Double+Dynamite,92,68,92,100
/item/31051%3B6?name=Wanderer%26%23x27%3Bs+Wear,92,74,92,100
/item/31414%3B6?name=Taunt%3A+Foul+Play,91,68,92,100
/item/31455%3B11?name=Strange+Hazardous+Environment+Vest,94,74,92,100
/item/6527%3B6%3Bkt-1%3Btd-331?name=Killstreak+Fists+of+Steel+Kit,91,74,92,100
/item/738%3B6?name=The+Balloonicorn,92,68,92,100
/listings,61,0,0,0
/store?group=1,93,76,92,100
/store?group=10,95,69,92,100
/store?group=11,95,72,92,100
/store?group=12,87,80,92,100
/store?group=14,94,76,92,100
/store?group=15,95,76,92,100
/store?group=16,89,80,92,100
/store?group=17,96,69,92,100
/store?group=18,96,69,92,100
/store?group=19,82,80,92,100
/store?group=2,78,80,92,100
/store?group=3,85,72,92,100
/store?group=32,93,76,92,100
/store?group=33,96,69,92,100
/store?group=34,95,69,92,100
/store?group=36,96,69,92,100
/store?group=37,95,76,92,100
/store?group=4,95,72,92,100
/store?group=45,89,80,92,100
/store?group=47,86,80,92,100
/store?group=48,95,69,92,100
/store?group=49,94,76,92,100
/store?group=5,89,69,92,100
/store?group=50,95,69,92,100
/store?group=52,85,69,92,100
/store?group=53,94,69,92,100
/store?group=54,95,69,92,100
/store?group=55,97,69,92,100
/store?group=56,95,69,92,100
/store?group=58,92,76,92,100
/store?group=59,95,69,92,100
/store?group=6,82,80,92,100
/store?group=61,95,69,92,100
/store?group=63,93,69,92,100
/store?group=65,96,69,92,100
/store?group=8,96,76,92,100
/store?group=9,96,76,92,100
/store?id=76561197961465956,95,69,92,100
/store?id=76561197962841151,95,69,92,100
/store?id=76561197966563795,95,69,92,100
/store?id=76561197966885398,95,69,92,100
/store?id=76561197968255747,95,69,92,100
/store?id=76561197970940248,95,69,92,100
/store?id=76561197971870923,96,69,92,100
/store?id=76561197988262873,94,69,92,100
/store?id=76561197988341178,95,69,92,100
/store?id=76561197995428281,96,69,92,100
/store?id=76561197998473085,96,69,92,100
/store?id=76561198000091310,94,69,92,100
/store?id=76561198001235783,95,69,92,100
/store?id=76561198001250303,96,69,92,100
/store?id=76561198004522192,96,69,92,100
/store?id=76561198006379512,95,69,92,100
/store?id=76561198007576578,95,69,92,100
/store?id=76561198008840775,95,69,92,100
/store?id=76561198011156965,94,69,92,100
/store?id=76561198013374536,96,69,92,100
/store?id=76561198019481980,96,69,92,100
/store?id=76561198021353023,95,69,92,100
/store?id=76561198021413819,95,69,92,100
/store?id=76561198024867201,95,69,92,100
/store?id=76561198026151556,95,69,92,100
/store?id=76561198027315255,95,69,92,100
/store?id=76561198028660366,95,69,92,100
/store?id=76561198029069878,95,69,92,100
/store?id=76561198030496201,95,69,92,100
/store?id=76561198031346223,95,69,92,100
/store?id=76561198031386947,95,69,92,100
/store?id=76561198035588548,95,69,92,100
/store?id=76561198036824799,86,69,92,100
/store?id=76561198037518646,94,69,92,100
/store?id=76561198038142758,94,69,92,100
/store?id=76561198038743378,95,69,92,100
/store?id=76561198039308039,95,69,92,100
/store?id=76561198040212496,93,69,92,100
/store?id=76561198040738494,95,69,92,100
/store?id=76561198044306087,95,69,92,100
/store?id=76561198049141281,95,69,92,100
/store?id=76561198049693200,95,69,92,100
/store?id=76561198050194207,94,69,92,100
/store?id=76561198050750602,95,69,92,100
/store?id=76561198052642530,97,69,92,100
/store?id=76561198055270629,95,69,92,100
/store?id=76561198057411631,96,69,92,100
/store?id=76561198058057650,95,69,92,100
/store?id=76561198058983273,95,69,92,100
/store?id=76561198060407903,94,69,92,100
/store?id=76561198060522022,93,69,92,100
/store?id=76561198062911189,95,69,92,100
/store?id=76561198063033909,95,69,92,100
/store?id=76561198064092229,95,69,92,100
/store?id=76561198064108751,94,69,92,100
/store?id=76561198066119670,95,69,92,100
/store?id=76561198068013593,96,69,92,100
/store?id=76561198069760245,95,69,92,100
/store?id=76561198070306770,95,69,92,100
/store?id=76561198071042475,96,69,92,100
/store?id=76561198071376804,95,69,92,100
/store?id=76561198071807595,93,69,92,100
/store?id=76561198074718149,96,69,92,100
/store?id=76561198075134663,96,69,92,100
/store?id=76561198075470373,95,69,92,100
/store?id=76561198075538911,95,69,92,100
/store?id=76561198076754750,95,69,92,100
/store?id=76561198077500003,96,69,92,100
/store?id=76561198078609558,95,69,92,100
/store?id=76561198083288968,95,69,92,100
/store?id=76561198083901668,87,76,92,100
/store?id=76561198083920542,96,69,92,100
/store?id=76561198084742356,95,69,92,100
/store?id=76561198088896232,95,69,92,100
/store?id=76561198089497551,95,69,92,100
/store?id=76561198089668951,95,69,92,100
/store?id=76561198089952821,95,69,92,100
/store?id=76561198092042212,95,69,92,100
/store?id=76561198093294992,95,69,92,100
/store?id=76561198093575632,95,69,92,100
/store?id=76561198095130768,87,74,92,100
/store?id=76561198095214822,95,69,92,100
/store?id=76561198095565086,95,69,92,100
/store?id=76561198096044222,94,69,92,100
/store?id=76561198096260332,95,69,92,100
/store?id=76561198096808418,95,69,92,100
/store?id=76561198100654111,94,69,92,100
/store?id=76561198103306049,94,69,92,100
/store?id=76561198106803792,93,69,92,100
/store?id=76561198107209284,94,69,92,100
/store?id=76561198108384535,94,69,92,100
/store?id=76561198108448982,95,69,92,100
/store?id=76561198108718621,95,69,92,100
/store?id=76561198109955545,91,80,92,100
/store?id=76561198110698316,94,69,92,100
/store?id=76561198112011757,93,69,92,100
/store?id=76561198113194487,93,69,92,100
/store?id=76561198113198660,94,69,92,100
/store?id=76561198114299178,95,69,92,100
/store?id=76561198114899125,94,69,92,100
/store?id=76561198117645558,94,69,92,100
/store?id=76561198118752491,95,69,92,100
/store?id=76561198119333762,94,69,92,100
/store?id=76561198120672630,95,69,92,100
/store?id=76561198121698432,95,69,92,100
/store?id=76561198121830870,95,69,92,100
/store?id=76561198123183894,95,69,92,100
/store?id=76561198123870344,95,69,92,100
/store?id=76561198126857412,95,69,92,100
/store?id=76561198127084057,95,69,92,100
/store?id=76561198131108480,94,69,92,100
/store?id=76561198131203690,95,69,92,100
/store?id=76561198131983188,95,82,100,96
/store?id=76561198132226518,95,69,92,100
/store?id=76561198133666925,95,69,92,100
/store?id=76561198135499706,95,69,92,100
/store?id=76561198136120544,95,69,92,100
/store?id=76561198136844013,95,69,92,100
/store?id=76561198137750620,95,69,92,100
/store?id=76561198138534634,95,69,92,100
/store?id=76561198140252438,95,69,92,100
/store?id=76561198140719727,95,69,92,100
/store?id=76561198145048547,95,69,92,100
/store?id=76561198145971473,95,69,92,100
/store?id=76561198146310837,95,69,92,100
/store?id=76561198150163450,95,69,92,100
/store?id=76561198150857085,95,69,92,100
/store?id=76561198153717826,95,69,92,100
/store?id=76561198155386309,96,69,92,100
/store?id=76561198155671154,95,69,92,100
/store?id=76561198156104977,95,69,92,100
/store?id=76561198156527574,95,69,92,100
/store?id=76561198157247515,95,69,92,100
/store?id=76561198158175206,95,69,92,100
/store?id=76561198158419271,95,69,92,100
/store?id=76561198159637426,95,69,92,100
/store?id=76561198162799790,96,69,92,100
/store?id=76561198162885342,95,69,92,100
/store?id=76561198164122666,95,69,92,100
/store?id=76561198167593099,95,69,92,100
/store?id=76561198167783119,96,69,92,100
/store?id=76561198170334258,95,69,92,100
/store?id=76561198171411231,95,69,92,100
/store?id=76561198171936554,95,69,92,100
/store?id=76561198171946445,95,69,92,100
/store?id=76561198175727153,95,69,92,100
/store?id=76561198178460097,95,69,92,100
/store?id=76561198178596501,95,69,92,100
/store?id=76561198179807307,96,69,92,100
/store?id=76561198180720511,95,69,92,100
/store?id=76561198199562642,95,69,92,100
/store?id=76561198200322295,95,69,92,100
/store?id=76561198201437973,95,69,92,100
/store?id=76561198202460151,95,69,92,100
/store?id=76561198203811797,95,69,92,100
/store?id=76561198207637528,95,69,92,100
/store?id=76561198209902011,95,69,92,100
/store?id=76561198212647291,95,69,92,100
/store?id=76561198213430295,95,69,92,100
/store?id=76561198215170633,95,69,92,100
/store?id=76561198217307435,95,69,92,100
/store?id=76561198217773799,95,69,92,100
/store?id=76561198226525604,94,69,92,100
/store?id=76561198371524119,90,80,92,100
/store?id=76561198405497731,95,69,92,100
/store?id=76561198422047724,95,69,92,100
/store?id=76561198743584025,96,69,92,100
/store?id=76561198744619976,80,76,92,100
/store?id=76561198753237328,88,74,92,100
/store?id=76561199025329863,92,80,92,100
/store?id=76561199046327906,86,80,92,100
/store?id=76561199063966004,80,80,92,100
/store?id=76561199107036822,91,69,92,100
/store?id=76561199118546232,80,80,92,100
/store?id=76561199122046269,84,80,92,100
/store?id=76561199129298924,96,69,92,100
/store?id=76561199339144555,93,69,92,100
/store?id=76561199356061645,95,69,92,100
/store?id=76561199443911975,95,69,92,100
/store?id=76561199552892095,93,69,92,100
/store?id=76561199579179238,92,69,92,100
/store?id=76561199626506570,87,80,92,100
/store?id=76561199659673591,82,80,92,100
/store?id=76561199660132541,85,80,92,100
/store?id=76561199667048610,88,80,92,100
/store?id=76561199667214362,88,80,92,100
/store?id=76561199681558519,87,80,92,100
/store?id=76561199891150311,88,76,92,100
/store/browse,92,69,92,100
/store/settings,59,88,75,77
/users,92,68,92,100
