Path,Performance,Accessibility,SEO,Best Practices
/,87,61,100,100
/item/16160%3B15%3Bw1%3Bpk160,96,74,100,100
/item/30551%3B11,92,74,100,100
/item/30716%3B6,95,74,100,100
/item/310%3B11,96,74,100,100
/item/31294%3B6,91,74,100,100
/item/31406%3B6,92,74,100,100
/item/400%3B6,96,74,100,100
/item/725%3B6,89,74,100,100
/listings,67,0,0,0
/sf/crate,96,71,100,100
/sf/derpys-store,91,83,100,100
/sf/fast,89,83,100,92
/sf/greenstore,96,79,100,92
/sf/onlinebot,95,79,100,100
/sf/purple,89,83,100,100
/sf/therobotpingu,95,81,100,100
/sf/yttmsi,81,83,100,100
/store?id=76561198000091310,97,76,100,100
/store?id=76561198004421274,95,79,100,100
/store?id=76561198021413819,96,76,100,100
/store?id=76561198036824799,95,76,100,100
/store?id=76561198040212496,94,81,100,100
/store?id=76561198050194207,96,76,100,100
/store?id=76561198057153972,87,79,100,100
/store?id=76561198066565063,92,83,100,100
/store?id=76561198077500003,89,76,100,92
/store?id=76561198083901668,92,79,100,100
/store?id=76561198094975766,87,76,100,100
/store?id=76561198109611163,95,79,100,100
/store?id=76561198131108480,89,76,100,100
/store?id=76561198226525604,95,76,100,100
/store?id=76561198274895819,95,83,100,100
/store?id=76561198371524119,81,83,100,100
/store?id=76561198393311128,96,76,100,92
/store?id=76561198405497731,96,76,100,100
/store?id=76561198410325443,94,81,100,100
/store?id=76561198414645935,96,76,100,100
/store?id=76561198744619976,93,79,100,100
/store?id=76561198751140127,95,81,100,100
/store?id=76561198751790885,87,76,100,100
/store?id=76561198753237328,94,81,100,100
/store?id=76561198755208638,87,81,100,100
/store?id=76561198757852066,96,76,100,92
/store?id=76561198778887684,93,83,100,92
/store?id=76561198833916128,87,83,100,100
/store?id=76561198845896241,90,83,100,100
/store?id=76561198861741098,92,83,100,92
/store?id=76561198878825091,92,83,100,100
/store?id=76561198907529889,96,76,100,92
/store?id=76561198918194942,86,83,100,92
/store?id=76561198965718394,96,76,100,92
/store?id=76561198975948937,89,76,100,100
/store?id=76561199006679800,96,76,100,100
/store?id=76561199013715460,94,83,100,100
/store?id=76561199046327906,86,83,100,100
/store?id=76561199052804233,78,83,100,100
/store?id=76561199055127294,89,76,100,100
/store?id=76561199063966004,77,83,100,100
/store?id=76561199076249074,77,83,100,100
/store?id=76561199087212867,96,79,100,100
/store?id=76561199095539879,95,81,100,100
/store?id=76561199107036822,95,76,100,100
/store?id=76561199111206889,94,79,100,92
/store?id=76561199118546232,91,83,100,100
/store?id=76561199129830760,77,83,100,100
/store?id=76561199134023346,72,83,100,100
/store?id=76561199145132510,90,83,100,100
/store?id=76561199145146020,77,83,100,100
/store?id=76561199152643337,90,83,100,100
/store?id=76561199153064717,87,83,100,100
/store?id=76561199153262623,90,83,100,100
/store?id=76561199153571794,79,83,100,100
/store?id=76561199168140950,95,76,100,92
/store?id=76561199268007332,96,76,100,92
/store?id=76561199339144555,94,81,100,100
/store?id=76561199356061645,96,76,100,100
/store?id=76561199425387861,95,76,100,100
/store?id=76561199443911975,96,76,100,100
/store?id=76561199486024699,94,81,100,100
/store?id=76561199509706909,89,76,100,100
/store?id=76561199529546697,86,83,100,100
/store?id=76561199535803197,96,76,100,92
/store?id=76561199579179238,96,76,100,92
/store?id=76561199581791834,88,79,100,92
/store?id=76561199630756878,92,83,100,100
/store?id=76561199644638211,86,83,100,100
/store?id=76561199656335896,96,76,100,100
/store?id=76561199660411284,92,83,92,100
/store?id=76561199666542905,92,83,100,92
/store?id=76561199667048610,92,83,100,100
/store?id=76561199667214362,92,83,100,100
/store?id=76561199681558519,92,83,100,100
/store?id=76561199777527588,95,76,100,100
/store?id=76561199826055716,82,76,100,100
/store?id=76561199835007811,93,76,100,100
/store?id=76561199837985889,89,76,100,100
/store?id=76561199844144891,96,76,100,100
/store?id=76561199849283153,91,79,100,100
/store?id=76561199868857950,95,76,100,100
/store?id=76561199873794102,92,83,92,100
/store?id=76561199874675508,96,76,100,92
/store?id=76561199891150311,93,79,100,100
