Path,Performance,Accessibility,SEO,Best Practices
/,97,61,100,100
/item/30398%3B11,96,74,100,100
/item/31573%3B6,94,74,100,100
/item/526%3B11%3Bkt-3,96,74,100,100
/item/6523%3B6%3Bkt-2%3Btd-574,96,74,100,96
/item/777%3B11,96,74,100,100
/item/988%3B5%3Bu60,97,74,100,100
/item/996%3B11,96,74,100,100
/item/998%3B11%3Bkt-1,94,74,100,100
/listings,73,0,0,0
/sf/76561199581791834,88,79,100,92
/sf/arasaka,89,76,100,100
/sf/bot,96,71,100,100
/sf/bruce,95,83,100,92
/sf/cristiano,95,83,100,92
/sf/hadanbot,87,81,100,92
/sf/m4tyi,96,76,100,100
/sf/purple,92,83,100,92
/store?id=76561198000091310,96,76,100,100
/store?id=76561198004421274,86,79,100,100
/store?id=76561198021413819,96,76,100,100
/store?id=76561198036824799,95,76,100,100
/store?id=76561198040212496,86,81,100,100
/store?id=76561198050194207,89,76,100,100
/store?id=76561198057153972,87,79,100,100
/store?id=76561198066565063,93,83,100,100
/store?id=76561198077500003,96,76,100,92
/store?id=76561198083901668,84,79,100,100
/store?id=76561198094975766,94,76,100,100
/store?id=76561198109611163,94,79,100,100
/store?id=76561198131108480,88,76,100,100
/store?id=76561198226525604,95,76,100,100
/store?id=76561198274895819,94,83,92,100
/store?id=76561198371524119,84,83,100,100
/store?id=76561198393311128,96,76,100,92
/store?id=76561198405497731,96,76,100,100
/store?id=76561198414645935,96,76,100,100
/store?id=76561198751140127,95,81,100,100
/store?id=76561198751790885,96,76,100,100
/store?id=76561198753237328,94,81,100,92
/store?id=76561198755208638,94,81,92,92
/store?id=76561198778887684,94,83,100,92
/store?id=76561198833916128,96,83,92,100
/store?id=76561198845896241,97,83,92,92
/store?id=76561198861741098,92,83,100,92
/store?id=76561198878825091,92,83,92,100
/store?id=76561198907529889,96,76,100,100
/store?id=76561198918194942,92,83,92,100
/store?id=76561198965718394,95,76,100,100
/store?id=76561198975948937,96,76,100,100
/store?id=76561199006679800,88,76,100,100
/store?id=76561199013715460,93,83,100,100
/store?id=76561199046327906,91,83,100,100
/store?id=76561199052804233,91,83,100,92
/store?id=76561199055127294,94,76,100,100
/store?id=76561199063966004,95,83,92,100
/store?id=76561199076249074,90,83,92,100
/store?id=76561199087212867,94,79,100,100
/store?id=76561199095539879,93,81,92,100
/store?id=76561199107036822,95,76,100,100
/store?id=76561199111206889,94,79,100,100
/store?id=76561199118546232,91,83,92,100
/store?id=76561199129830760,93,83,92,100
/store?id=76561199134023346,92,83,92,100
/store?id=76561199145132510,91,83,100,92
/store?id=76561199145146020,82,83,100,92
/store?id=76561199152643337,91,83,100,92
/store?id=76561199153262623,91,83,100,92
/store?id=76561199153571794,91,83,100,100
/store?id=76561199168140950,94,76,100,92
/store?id=76561199268007332,96,76,100,100
/store?id=76561199339144555,85,81,100,100
/store?id=76561199356061645,96,76,100,100
/store?id=76561199425387861,95,76,100,100
/store?id=76561199443911975,96,76,100,100
/store?id=76561199486024699,95,81,100,92
/store?id=76561199509706909,96,76,100,92
/store?id=76561199529546697,89,83,100,100
/store?id=76561199535803197,96,76,100,100
/store?id=76561199579179238,89,76,100,100
/store?id=76561199581791834,88,79,100,100
/store?id=76561199630756878,92,83,100,92
/store?id=76561199644638211,90,83,100,100
/store?id=76561199656335896,96,76,100,92
/store?id=76561199659673591,92,83,92,92
/store?id=76561199660132541,92,83,100,100
/store?id=76561199660411284,82,83,100,100
/store?id=76561199660681605,90,83,92,100
/store?id=76561199666542905,91,83,92,100
/store?id=76561199667048610,91,83,100,92
/store?id=76561199667214362,92,83,92,92
/store?id=76561199681558519,92,83,92,92
/store?id=76561199777527588,95,76,100,100
/store?id=76561199826055716,94,76,100,100
/store?id=76561199837985889,96,76,100,100
/store?id=76561199844144891,96,76,100,100
/store?id=76561199849283153,92,79,100,100
/store?id=76561199868857950,94,76,100,100
/store?id=76561199873794102,92,83,92,100
/store?id=76561199874675508,89,76,100,92
