Path,Performance,Accessibility,SEO,Best Practices
/,95,61,100,100
/item/1113%3B6,95,74,100,100
/item/130%3B11%3Bkt-2,96,74,100,100
/item/197%3B11%3Bkt-1,96,74,100,100
/item/201%3B11%3Bkt-3%3Bfestive,95,74,100,100
/item/30312%3B11,96,74,100,100
/item/30513%3B6,96,74,100,100
/item/30909%3B6,95,74,100,100
/item/31310%3B11,95,74,100,100
/listings,74,0,0,0
/sf/jumpscare,96,76,100,100
/sf/kuina,93,83,100,92
/sf/m4tyi,96,76,100,100
/sf/onlinebot,89,79,100,100
/sf/polishguy,92,83,92,100
/sf/rayman,89,76,100,92
/sf/ryzex,89,76,100,92
/sf/shotfire,96,76,100,92
/store?id=76561198000091310,96,76,100,100
/store?id=76561198004421274,94,79,100,100
/store?id=76561198021413819,96,76,100,100
/store?id=76561198036824799,95,76,100,100
/store?id=76561198040212496,94,76,100,100
/store?id=76561198050194207,96,76,100,92
/store?id=76561198057153972,94,79,100,100
/store?id=76561198066565063,91,83,100,92
/store?id=76561198077500003,88,76,100,100
/store?id=76561198083901668,85,79,100,100
/store?id=76561198094975766,95,76,100,100
/store?id=76561198109611163,95,79,100,100
/store?id=76561198131108480,96,76,100,100
/store?id=76561198226525604,96,76,100,100
/store?id=76561198274895819,94,83,100,100
/store?id=76561198371524119,92,83,100,100
/store?id=76561198393311128,96,76,100,92
/store?id=76561198405497731,96,76,100,92
/store?id=76561198410325443,93,81,100,92
/store?id=76561198414645935,96,76,100,100
/store?id=76561198744619976,95,76,100,100
/store?id=76561198751140127,87,81,100,100
/store?id=76561198751790885,96,76,100,92
/store?id=76561198753237328,95,81,100,92
/store?id=76561198755208638,95,81,100,92
/store?id=76561198757852066,96,76,100,92
/store?id=76561198778887684,93,83,100,92
/store?id=76561198845896241,90,83,100,92
/store?id=76561198861741098,91,83,100,100
/store?id=76561198878825091,94,83,100,100
/store?id=76561198907529889,96,76,100,92
/store?id=76561198918194942,87,83,92,100
/store?id=76561198965718394,96,76,100,100
/store?id=76561198975948937,95,76,100,92
/store?id=76561199006679800,96,76,100,92
/store?id=76561199013715460,95,83,92,100
/store?id=76561199046327906,91,83,100,92
/store?id=76561199052804233,90,83,92,100
/store?id=76561199055127294,95,76,100,92
/store?id=76561199063966004,92,83,100,100
/store?id=76561199076249074,90,83,100,100
/store?id=76561199087212867,95,79,100,92
/store?id=76561199095539879,94,81,92,100
/store?id=76561199107036822,95,76,100,100
/store?id=76561199111206889,95,79,100,92
/store?id=76561199118546232,91,83,100,92
/store?id=76561199129830760,91,83,100,92
/store?id=76561199134023346,89,83,100,100
/store?id=76561199145132510,91,83,100,92
/store?id=76561199145146020,91,83,100,100
/store?id=76561199152643337,90,83,92,100
/store?id=76561199153262623,90,83,100,92
/store?id=76561199153571794,91,83,100,100
/store?id=76561199168140950,94,76,100,92
/store?id=76561199268007332,96,76,100,92
/store?id=76561199339144555,94,81,100,92
/store?id=76561199356061645,96,76,100,92
/store?id=76561199425387861,95,76,100,92
/store?id=76561199443911975,96,76,100,92
/store?id=76561199486024699,86,81,92,92
/store?id=76561199509706909,96,76,100,100
/store?id=76561199529546697,80,83,100,100
/store?id=76561199535803197,96,76,100,92
/store?id=76561199579179238,96,76,100,100
/store?id=76561199581791834,95,79,100,92
/store?id=76561199630756878,89,83,100,92
/store?id=76561199644638211,80,83,100,92
/store?id=76561199656335896,96,76,100,92
/store?id=76561199659673591,90,83,92,100
/store?id=76561199660411284,91,83,100,92
/store?id=76561199660681605,91,83,92,100
/store?id=76561199666542905,90,83,100,92
/store?id=76561199667048610,91,83,100,100
/store?id=76561199667214362,90,83,100,92
/store?id=76561199681558519,91,83,100,92
/store?id=76561199777527588,95,76,100,92
/store?id=76561199826055716,94,76,100,92
/store?id=76561199835007811,95,76,100,100
/store?id=76561199837985889,96,76,100,92
/store?id=76561199844144891,96,76,100,92
/store?id=76561199849283153,93,79,100,92
/store?id=76561199868857950,95,76,100,92
/store?id=76561199873794102,91,83,100,92
/store?id=76561199874675508,95,76,100,100
/store?id=76561199891150311,93,79,100,92
