Path,Performance,Accessibility,SEO,Best Practices
/,90,61,100,100
/item/15104%3B15%3Bw1%3Bpk69,99,74,100,100
/item/30823%3B6,92,74,100,100
/item/30916%3B11,95,74,100,100
/item/31161%3B6,92,74,100,100
/item/6523%3B6%3Bkt-2%3Btd-773,95,74,100,100
/item/824%3B6,96,74,100,100
/item/991%3B6,95,74,100,100
/item/997%3B6%3Bkt-2%3Bfestive,96,74,100,100
/listings,70,0,0,0
/sf/cat,94,83,100,100
/sf/cristiano,91,83,100,100
/sf/jumpscare,96,76,100,92
/sf/m4tyi,96,76,100,100
/sf/misspauling,96,76,100,100
/sf/purple,92,83,100,100
/sf/superisakswahn,91,83,92,92
/sf/uberdemo,91,76,100,100
/store?id=76561198000091310,95,76,100,100
/store?id=76561198004421274,94,79,100,100
/store?id=76561198021413819,96,76,100,100
/store?id=76561198036824799,87,76,100,100
/store?id=76561198040212496,95,76,100,100
/store?id=76561198050194207,95,76,100,100
/store?id=76561198057153972,94,79,100,100
/store?id=76561198066565063,92,83,92,100
/store?id=76561198077500003,96,76,100,100
/store?id=76561198083901668,74,79,100,100
/store?id=76561198094975766,98,76,100,100
/store?id=76561198109611163,94,79,100,100
/store?id=76561198131108480,96,76,100,100
/store?id=76561198226525604,96,76,100,100
/store?id=76561198274895819,95,83,92,100
/store?id=76561198371524119,91,83,100,100
/store?id=76561198393311128,95,76,100,100
/store?id=76561198405497731,96,76,100,100
/store?id=76561198410325443,94,81,92,100
/store?id=76561198414645935,96,76,100,92
/store?id=76561198751140127,95,81,100,100
/store?id=76561198751790885,86,76,100,100
/store?id=76561198753237328,87,81,100,100
/store?id=76561198755208638,95,81,100,100
/store?id=76561198757852066,89,76,100,100
/store?id=76561198778887684,79,83,100,100
/store?id=76561198833916128,92,83,100,100
/store?id=76561198845896241,79,83,100,100
/store?id=76561198861741098,92,83,100,100
/store?id=76561198878825091,91,83,100,92
/store?id=76561198907529889,96,76,100,92
/store?id=76561198918194942,90,83,92,92
/store?id=76561198965718394,98,76,100,100
/store?id=76561198975948937,96,76,100,100
/store?id=76561199006679800,96,76,100,100
/store?id=76561199013715460,94,83,100,92
/store?id=76561199046327906,78,79,92,92
/store?id=76561199052804233,89,83,100,100
/store?id=76561199055127294,95,76,100,92
/store?id=76561199063966004,92,83,100,100
/store?id=76561199076249074,89,83,100,100
/store?id=76561199087212867,94,79,100,92
/store?id=76561199095539879,94,81,92,100
/store?id=76561199107036822,95,76,100,100
/store?id=76561199111206889,94,79,100,100
/store?id=76561199118546232,71,83,100,100
/store?id=76561199129830760,85,83,92,92
/store?id=76561199134023346,69,83,100,100
/store?id=76561199145132510,92,79,100,92
/store?id=76561199145146020,92,79,100,100
/store?id=76561199152643337,91,79,100,92
/store?id=76561199153064717,82,79,100,100
/store?id=76561199153262623,92,79,100,92
/store?id=76561199153571794,91,79,100,100
/store?id=76561199168140950,95,76,100,100
/store?id=76561199268007332,96,76,100,100
/store?id=76561199339144555,93,81,100,100
/store?id=76561199356061645,96,76,100,100
/store?id=76561199425387861,95,76,100,100
/store?id=76561199443911975,96,76,100,100
/store?id=76561199486024699,95,81,100,100
/store?id=76561199509706909,96,76,100,100
/store?id=76561199529546697,89,83,100,100
/store?id=76561199535803197,96,76,100,92
/store?id=76561199579179238,89,76,100,92
/store?id=76561199581791834,95,79,100,92
/store?id=76561199630756878,91,83,100,92
/store?id=76561199644638211,90,83,92,100
/store?id=76561199656335896,96,76,100,92
/store?id=76561199659673591,91,83,92,92
/store?id=76561199660132541,91,83,92,100
/store?id=76561199660411284,91,83,92,92
/store?id=76561199660681605,91,83,92,100
/store?id=76561199666542905,90,83,100,92
/store?id=76561199667048610,91,83,100,92
/store?id=76561199667214362,89,83,92,100
/store?id=76561199681558519,91,83,92,100
/store?id=76561199777527588,95,76,100,92
/store?id=76561199826055716,87,81,100,92
/store?id=76561199835007811,93,81,100,100
/store?id=76561199837985889,96,76,100,100
/store?id=76561199844144891,96,76,100,100
/store?id=76561199849283153,92,79,100,100
/store?id=76561199868857950,95,76,100,100
/store?id=76561199873794102,91,83,92,100
/store?id=76561199874675508,96,76,100,100
/store?id=76561199891150311,93,79,100,100
